,wavelength,raw_bkg,raw_avg0,raw_avg25,raw_avg50,raw_avg75,raw_avg100,raw_avg125,raw_avg150,raw_avg175,raw_avg200,raw_avg225,raw_avg250
579,556.3068488309942,1508.4349137931035,24.85810344827587,27.117931034482694,-32.767500000000155,9.039310344827527,-30.507672413793216,-32.767500000000155,7.909396551724058,-33.897413793103624,10.169224137930996,88.1332758620689,111.8614655172413
580,556.669532252504,1486.9665517241378,-28.247844827586164,-40.6768965517241,-74.5743103448275,-4.51965517241365,-61.01534482758609,2.2598275862069386,-22.598275862068817,24.858103448275983,33.89741379310351,62.14525862068979,96.04267241379318
581,557.032168956847,1474.5375,-2.259827586206825,-20.338448275861992,-35.02732758620675,-9.039310344827527,-47.45637931034469,-5.649568965517119,1.1368683772161603e-13,-72.31448275862056,-12.429051724137935,11.29913793103458,71.18456896551743
582,557.3947589398837,1424.8212931034482,97.17258620689665,39.54698275862086,-3.3897413793101805,-37.28715517241358,19.20853448275875,20.338448275862106,50.84612068965532,3.389741379310408,53.10594827586215,45.19655172413809,98.30250000000012
583,557.7573021974744,1458.7187068965518,-1.1299137931034693,-1.1368683772161603e-13,11.299137931034466,-40.6768965517241,35.027327586206866,33.89741379310328,-9.039310344827754,-16.948706896551812,20.338448275861992,49.716206896551626,126.55034482758617
584,558.1197987254792,1563.8006896551724,61.015344827586205,-22.59827586206893,-13.55896551724129,-31.63758620689657,-59.885431034482735,0.0,-15.818793103448343,-16.9487068965517,31.63758620689657,19.208534482758637,68.92474137931038
585,558.482248519759,1884.6962068965518,-13.558965517241404,1.1299137931033556,-22.598275862069045,25.988017241379225,-13.558965517241404,-32.76750000000004,12.429051724137935,22.59827586206893,40.6768965517241,87.00336206896554,112.99137931034477
586,558.8446515761738,1622.5562068965519,-12.429051724138048,-35.02732758620698,-62.14525862068979,-53.10594827586226,-114.12129310344847,-58.75551724137949,-101.69224137931042,-57.625603448276024,-98.30250000000012,-7.909396551724285,-32.767500000000155
587,559.2070078905842,2398.8069827586205,-28.24784482758605,-41.80681034482723,-30.50767241379299,14.6888793103451,28.247844827586277,50.84612068965521,33.897413793103624,39.54698275862097,64.40508620689684,68.92474137931049,41.80681034482768
588,559.5693174588507,1649.6741379310345,-33.89741379310351,-9.039310344827527,-54.2358620689655,-36.15724137931022,-46.32646551724133,-47.4563793103448,-53.10594827586203,-42.93672413793092,-46.32646551724133,-21.46836206896546,5.649568965517233
