255, 0, 0
511, 3598, 3598
767, 6168, 6168
1023, 8224, 8224
1279, 9766, 10023
1535, 11308, 11308
1791, 12593, 12593
2047, 13621, 13621
2303, 14649, 14649
2559, 15420, 15677
2815, 16191, 16448
3071, 16962, 17219
3327, 17733, 17990
3583, 18504, 18761
3839, 19018, 19275
4095, 19532, 19789
4351, 20303, 20303
4607, 20817, 21074
4863, 21331, 21588
5119, 21845, 21845
5375, 22102, 22359
5631, 22616, 22873
5887, 23130, 23387
6143, 23387, 23644
6399, 23901, 24158
6655, 24158, 24415
6911, 24672, 24929
7167, 24929, 25186
7423, 25443, 25700
7679, 25700, 25957
7935, 25957, 26214
8191, 26214, 26728
8447, 26728, 26985
8703, 26985, 27242
8959, 27242, 27499
9215, 27499, 27756
9471, 27756, 28013
9727, 28013, 28527
9983, 28270, 28784
10239, 28527, 29041
10495, 28784, 29298
10751, 29041, 29555
11007, 29298, 29812
11263, 29555, 30069
11519, 29812, 30326
11775, 30069, 30326
12031, 30326, 30583
12287, 30583, 30840
12543, 30840, 31097
12799, 31097, 31354
13055, 31354, 31611
13311, 31354, 31868
13567, 31611, 32125
13823, 31868, 32125
14079, 32125, 32382
14335, 32382, 32639
14591, 32382, 32896
14847, 32639, 33153
15103, 32896, 33153
15359, 33153, 33410
15615, 33153, 33667
15871, 33410, 33924
16127, 33667, 33924
16383, 33924, 34181
16639, 33924, 34438
16895, 34181, 34695
17151, 34438, 34695
17407, 34438, 34952
17663, 34695, 35209
17919, 34952, 35209
18175, 35209, 35466
18431, 35209, 35723
18687, 35466, 35723
18943, 35466, 35980
19199, 35723, 36237
19455, 35980, 36237
19711, 35980, 36494
19967, 36237, 36751
20223, 36494, 36751
20479, 36494, 37008
20735, 36751, 37265
20991, 37008, 37265
21247, 37008, 37522
21503, 37265, 37522
21759, 37265, 37779
22015, 37522, 38036
22271, 37779, 38036
22527, 37779, 38293
22783, 38036, 38293
23039, 38036, 38550
23295, 38293, 38807
23551, 38293, 38807
23807, 38550, 39064
24063, 38807, 39064
24319, 38807, 39321
24575, 39064, 39321
24831, 39064, 39578
25087, 39321, 39835
25343, 39321, 39835
25599, 39578, 40092
25855, 39578, 40092
26111, 39835, 40349
26367, 40092, 40349
26623, 40092, 40606
26879, 40349, 40606
27135, 40349, 40863
27391, 40606, 41120
27647, 40606, 41120
27903, 40863, 41377
28159, 40863, 41377
28415, 41120, 41634
28671, 41120, 41634
28927, 41377, 41891
29183, 41377, 41891
29439, 41634, 42148
29695, 41634, 42148
29951, 41891, 42405
30207, 42148, 42405
30463, 42148, 42662
30719, 42405, 42662
30975, 42405, 42919
31231, 42662, 42919
31487, 42662, 43176
31743, 42919, 43433
31999, 42919, 43433
32255, 43176, 43690
32511, 43176, 43690
32767, 43433, 43947
33023, 43433, 43947
33279, 43690, 44204
33535, 43690, 44204
33791, 43947, 44461
34047, 43947, 44461
34303, 44204, 44718
34559, 44204, 44718
34815, 44461, 44975
35071, 44461, 44975
35327, 44718, 45232
35583, 44718, 45232
35839, 44975, 45489
36095, 44975, 45489
36351, 45232, 45746
36607, 45232, 45746
36863, 45489, 46003
37119, 45489, 46003
37375, 45746, 46260
37631, 45746, 46260
37887, 46003, 46517
38143, 46003, 46517
38399, 46260, 46774
38655, 46260, 46774
38911, 46517, 47031
39167, 46517, 47031
39423, 46774, 47288
39679, 46774, 47288
39935, 47031, 47545
40191, 47031, 47545
40447, 47288, 47802
40703, 47288, 47802
40959, 47545, 48059
41215, 47545, 48059
41471, 47802, 48316
41727, 47802, 48573
41983, 48059, 48573
42239, 48059, 48830
42495, 48316, 48830
42751, 48316, 49087
43007, 48573, 49087
43263, 48573, 49344
43519, 48830, 49344
43775, 48830, 49601
44031, 49087, 49601
44287, 49344, 49858
44543, 49344, 49858
44799, 49601, 50115
45055, 49601, 50115
45311, 49858, 50372
45567, 49858, 50372
45823, 50115, 50629
46079, 50115, 50886
46335, 50372, 50886
46591, 50372, 51143
46847, 50629, 51143
47103, 50629, 51400
47359, 50886, 51400
47615, 50886, 51657
47871, 51143, 51657
48127, 51400, 51914
48383, 51400, 52171
48639, 51657, 52171
48895, 51657, 52428
49151, 51914, 52428
49407, 51914, 52685
49663, 52171, 52685
49919, 52428, 52942
50175, 52428, 53199
50431, 52685, 53199
50687, 52685, 53456
50943, 52942, 53456
51199, 53199, 53713
51455, 53199, 53970
51711, 53456, 53970
51967, 53456, 54227
52223, 53713, 54484
52479, 53970, 54484
52735, 53970, 54741
52991, 54227, 54741
53247, 54227, 54998
53503, 54484, 55255
53759, 54741, 55255
54015, 54741, 55512
54271, 54998, 55769
54527, 55255, 55769
54783, 55255, 56026
55039, 55512, 56283
55295, 55769, 56283
55551, 55769, 56540
55807, 56026, 56797
56063, 56283, 57054
56319, 56283, 57054
56575, 56540, 57311
56831, 56797, 57568
57087, 57054, 57568
57343, 57054, 57825
57599, 57311, 58082
57855, 57568, 58339
58111, 57825, 58339
58367, 57825, 58596
58623, 58082, 58853
58879, 58339, 59110
59135, 58596, 59367
59391, 58596, 59624
59647, 58853, 59624
59903, 59110, 59881
60159, 59367, 60138
60415, 59624, 60395
60671, 59881, 60652
60927, 60138, 60909
61183, 60138, 61166
61439, 60395, 61423
61695, 60652, 61680
61951, 60909, 61937
62207, 61166, 62194
62463, 61423, 62451
62719, 61680, 62708
62975, 61937, 62965
63231, 62194, 63222
63487, 62451, 63479
63743, 62708, 63736
63999, 63222, 63993
64255, 63479, 64250
64511, 63736, 64764
64767, 63993, 65021
65023, 64250, 65278
65279, 64764, 65278
