,wavelength,raw_bkg,raw_avg255
0,339.59809,18.3498,0.0
1,339.97331121754155,31480.3926,0.0
2,340.3485008615318,2201.976,-39.32099999999991
3,340.72365891902,2157.4122,-60.29220000000032
4,341.09878537705475,2160.0336,-52.42800000000034
5,341.473880222685,2112.8484,-5.242799999999988
6,341.8489434429597,2026.3422,138.93420000000015
7,342.2239750249277,2204.5974,-123.20580000000018
8,342.59897495563774,2076.1488,0.0
9,342.973943222139,2086.6344,-107.47739999999999
10,343.34887981148,2133.8196,-115.34159999999974
11,343.7237847107099,2086.6344,28.835399999999936
12,344.0986579068774,2094.4986,-41.94239999999991
13,344.47349938703155,2084.013,28.835399999999936
14,344.8483091382211,2021.0994,91.7489999999998
15,345.22308714749505,2031.585,-15.728399999999965
16,345.59783340190205,2118.0912,-62.91359999999986
17,345.97254788849125,2115.4698,-41.94239999999991
18,346.3472305943114,2157.4122,-23.592600000000402
19,346.7218815064113,2102.3628,-62.91359999999986
20,347.09650061184004,2160.0336,-62.913600000000315
21,347.47108789764627,2084.013,-20.971199999999953
22,347.8456433508791,2057.799,20.971199999999953
23,348.2201669585872,2128.5768,52.42800000000034
24,348.5946587078195,2149.548,-112.72019999999975
25,348.969118585625,2120.7126,-23.592599999999948
26,349.34354657905254,2178.3834,-60.29220000000032
27,349.7179426751509,2201.976,-52.42800000000034
28,350.092306860969,2199.3546,-78.64200000000028
29,350.46663912355575,2089.2558,89.12760000000026
30,350.84093944996005,2220.3258,-47.185199999999895
31,351.21520782723064,2167.8978,-76.02060000000029
32,351.5894442424167,2144.3052,28.83540000000039
33,351.9636486825667,2230.8114,-2.621399999999994
34,352.33782113472995,2175.762,-70.7778000000003
35,352.711961585955,2188.869,-39.32100000000037
36,353.0860700232909,2194.1118,-36.69959999999992
37,353.4601464337864,2173.1406,73.39919999999984
38,353.83419080449056,2196.7332,26.213999999999942
39,354.2082031224522,2152.1694,-5.242800000000443
40,354.58218337472,2170.5192,7.8641999999999825
41,354.95613154834314,2078.7702,89.12760000000026
42,355.33004763037025,2215.083,-23.592599999999948
43,355.7039316078504,2207.2188,-5.242799999999988
44,356.0777834678324,2238.6756,65.53499999999985
45,356.45160319736505,2152.1694,86.50619999999981
46,356.8253907834973,2309.4534,-20.971199999999953
47,357.199146213278,2241.297,2.621399999999994
48,357.57286947375616,2254.404,-60.292199999999866
49,357.9465605519805,2167.8978,62.91359999999986
50,358.32021943499996,2191.4904,112.72019999999975
51,358.6938461098635,2170.5192,49.80659999999989
52,359.0674405636198,2201.976,-39.32099999999991
53,359.44100278331797,2215.083,-15.728399999999965
54,359.8145327560067,2267.511,-18.34979999999996
55,360.188030468735,2175.762,18.34979999999996
56,360.5614959085517,2175.762,7.8641999999999825
57,360.93492906250566,2254.404,-44.5637999999999
58,361.3083299176458,2291.1036,-70.77779999999984
59,361.6816984610209,2238.6756,-34.078199999999924
60,362.05503467968003,2188.869,89.1275999999998
61,362.4283385606719,2220.3258,41.94239999999991
62,362.80161009104546,2186.2476,15.728399999999965
63,363.1748492578496,2188.869,-31.45679999999993
64,363.54805604813316,2304.2106,-112.72019999999975
65,363.921230448945,2230.8114,-55.04939999999988
66,364.2943724473341,2233.4328,31.45679999999993
67,364.6674820303493,2259.6468,-23.592599999999948
68,365.0405591850394,2249.1612,0.0
69,365.41360389845335,2204.5974,-26.213999999999942
70,365.78661615764,2201.976,-10.485599999999977
71,366.1595959496483,2246.5398,-31.45679999999993
72,366.53254326152705,2246.5398,-44.5637999999999
73,366.90545808032516,2144.3052,73.39920000000029
74,367.2783403930916,2207.2188,7.8641999999999825
75,367.651190186875,2217.7044,-44.5637999999999
76,368.0240074487245,2288.4822,2.621399999999994
77,368.3967921656889,2222.9472,68.15639999999985
78,368.76954432481693,2275.3752,31.45679999999993
79,369.14226391315776,2152.1694,102.23459999999977
80,369.51495091776,2259.6468,-70.77779999999984
81,369.8876053256727,2236.0542,31.45679999999993
82,370.2602271239447,2264.8896,-28.835399999999936
83,370.63281629962484,2272.7538,44.5637999999999
84,371.00537283976195,2238.6756,99.61319999999978
85,371.37789673140503,2191.4904,89.1275999999998
86,371.7503879616029,2230.8114,34.078199999999924
87,372.12284651740447,2215.083,125.82719999999972
88,372.4952723858585,2246.5398,81.26339999999982
89,372.86766555401414,2215.083,120.58439999999973
90,373.24002600892,2204.5974,319.81079999999974
91,373.61235373762514,2267.511,188.74080000000004
92,373.98464872717824,2230.8114,204.4692
93,374.35691096462836,2201.976,374.8602000000001
94,374.7291404370243,2183.6262,385.34580000000005
95,375.10133713141505,2196.7332,414.1812
96,375.4735010348493,2186.2476,516.4157999999998
97,375.84563213437605,2212.4616,713.0207999999998
98,376.2177304170442,2254.404,568.8438000000001
99,376.5897958699025,2196.7332,817.8768
100,376.96182848,2212.4616,899.1401999999998
101,377.33382823438546,2222.9472,956.8110000000001
102,377.7057951201079,2272.7538,1239.9222
103,378.077729124216,2162.655,1546.6259999999997
104,378.44963023375874,2233.4328,1507.3049999999998
105,378.821498435785,2275.3752,1790.4162000000001
106,379.1933337173437,2270.1324,2060.4204000000004
107,379.5651360654836,2230.8114,2293.725
108,379.9369054672538,2181.0048,2707.9062
109,380.30864190970294,2212.4616,3014.61
110,380.68034537988,2220.3258,3195.4865999999997
111,381.05201586483383,2217.7044,3544.1328
112,381.42365335161344,2257.0254,4244.0466
113,381.79525782726756,2249.1612,4616.285400000001
114,382.16682927884517,2236.0542,5004.2526
115,382.53836769339506,2262.2682,5431.540800000001
116,382.9098730579661,2225.5686,6411.9444
