References,Qty,Description,Manufacturer,MPN,Manufacturer_1,MPN_2,Manufacturer_3,MPN_4,Manufacturer_5,MPN_6,Manufacturer_7,MPN_8,Digikey,Mouser,RS,Newark,Farnell
P1-8,1,BNC connector,TE,1-1337542-0,,,,,,,,,,,512-1203,,
R3;R6,1,Resistor 1k 250mW through-hole,Multicomp,MF12 1K,Yageo,MFR-25FBF52-1K,RS Pro,7077666,,,,,1.00KXBK-ND,603MFR25FBF521K,7077666,38K5400,9342400
RV1-4,1,Potentiometer 25Ohms 5W,CTS,026TB32R250B1A1,,,,,,,,,,,179-0668,,
