# wavelength	raw_bkg	raw_avg
3.386034821000000079e+02 1.581879310344827516e+01 0.000000000000000000e+00
3.389925196812100694e+02 2.563548413793103100e+04 3.637978807091712952e-12
3.393815129420805761e+02 1.185957517241379264e+03 -9.717258620689603887e+00
3.397704618784717923e+02 1.131721655172413875e+03 5.875551724137867637e+00
3.401593664862442665e+02 1.128557896551724070e+03 -4.881227586206805746e+00
3.405482267612583769e+02 1.298722913793103316e+03 -1.401093103448261878e+01
3.409370426993745014e+02 1.264147551724137884e+03 -2.784107586206891938e+01
3.413258142964530180e+02 1.256238155172413826e+03 -1.355896551724139876e+01
3.417145415483543047e+02 1.251492517241379346e+03 6.417910344827555846e+00
3.421032244509388534e+02 1.253300379310344852e+03 -7.095858620689678098e+00
3.424918630000669850e+02 1.253526362068965454e+03 -9.762455172413728732e+00
3.428804571915991914e+02 1.236125689655172664e+03 5.333193103448016004e+00
3.432690070213957370e+02 1.243809103448275891e+03 -7.231448275862385477e-01
3.436575124853172269e+02 1.273186862068965638e+03 -1.071158275862082476e+01
3.440459735792238689e+02 1.250588586206896707e+03 -9.943241379310492789e+00
3.444343902989761546e+02 1.403578913793103538e+03 4.790834482758537405e+00
3.448227626404344619e+02 1.453973068965517086e+03 1.129913793103463426e+01
3.452110905994591690e+02 1.327422724137931027e+03 1.175110344827588449e+01
3.455993741719107675e+02 1.297141034482758641e+03 -5.062013793103469439e+00
3.459876133536495786e+02 1.229346206896551848e+03 -5.152406896551861237e+00
3.463758081405359803e+02 1.303468551724137797e+03 1.039520689655291763e+00
3.467639585284304644e+02 1.272508913793103602e+03 2.169434482758606109e+01
3.471520645131934657e+02 1.246294913793103433e+03 1.184149655172414484e+01
3.475401260906851917e+02 1.275446689655172577e+03 -3.434937931034646841e+00
3.479281432567662478e+02 1.276124637931034613e+03 1.708429655172400885e+01
3.483161160072968983e+02 1.386856189655172329e+03 -2.657557241379302582e+01
3.487040443381376349e+02 1.492390137931034587e+03 -1.979608965517251917e+01
3.490919282451487220e+02 1.396121482758620914e+03 -2.232709655172435603e+01
3.494797677241907650e+02 1.320643241379310211e+03 4.519655172425700307e-02
3.498675627711240281e+02 1.314993672413792865e+03 2.901618620689678352e+01
3.502553133818089464e+02 1.425273258620689830e+03 -1.355896551724156396e+01
3.506430195521060114e+02 1.728994086206896554e+03 4.293672413793106379e+00
3.510306812778754875e+02 1.401545068965517203e+03 3.434937931034514946e+00
3.514182985549778095e+02 1.418493775862069015e+03 6.327517241379268853e+00
3.518058713792733556e+02 1.411036344827586390e+03 1.129913793103251018e+00
