,wavelength,raw_bkg,raw_avg0,raw_avg25,raw_avg50,raw_avg75,raw_avg100,raw_avg125,raw_avg150,raw_avg175,raw_avg200,raw_avg225,raw_avg250
1283,799.8358321395265,1541.2024137931035,3.389741379310408,-71.18456896551731,-62.145258620689674,-48.58629310344827,-56.49568965517244,-68.92474137931038,-25.988017241379225,-55.36577586206897,-27.117931034482808,-82.48370689655178,-19.208534482758637
1284,800.1646023072183,1519.7340517241378,-23.728189655172287,5.64956896551746,33.897413793103624,-12.429051724137707,-29.37775862068952,4.519655172413991,-5.649568965517005,-18.07862068965494,-23.728189655172173,-32.767499999999814,-10.169224137930883
1285,800.4933228434664,1597.698103448276,-10.169224137931224,-59.88543103448285,3.3897413793101805,-14.688879310344987,-65.53500000000008,-67.79482758620702,-54.235862068965616,-71.18456896551731,-51.97603448275879,-124.29051724137946,-13.558965517241518
1286,800.821993744131,1427.081120689655,5.649568965517346,9.03931034482764,-1.1299137931033556,-12.429051724137821,11.29913793103458,7.909396551724171,-4.5196551724137635,18.078620689655168,2.2598275862069386,-25.988017241379225,16.948706896551812
1287,801.1506150050725,1510.6947413793105,-21.468362068965575,-27.117931034482922,-83.61362068965536,-25.988017241379453,-127.68025862068976,-90.39310344827595,-81.35379310344842,-58.75551724137938,-108.47172413793112,-92.65293103448289,-112.991379310345
1288,801.4791866221514,1594.3083620689654,19.20853448275875,-41.806810344827454,-57.62560344827568,-47.45637931034469,28.24784482758639,-61.01534482758609,-25.988017241379225,-19.208534482758523,-48.586293103448156,-81.35379310344808,-73.44439655172403
1289,801.8077085912281,1580.7493965517242,-91.52301724137942,-85.87344827586207,-75.70422413793108,-28.247844827586164,-63.27517241379314,-58.75551724137938,-71.18456896551731,-96.04267241379318,-94.91275862068971,-103.95206896551724,-82.48370689655178
1290,802.1361809081629,1552.501551724138,18.078620689655168,-31.63758620689657,-24.85810344827587,-61.015344827586205,-56.49568965517244,-18.078620689655168,-39.54698275862063,-56.49568965517244,-28.247844827586164,-80.22387931034484,-31.63758620689657
1291,802.4646035688164,1445.1597413793104,31.637586206896458,-24.85810344827587,-33.89741379310351,4.5196551724137635,5.649568965517233,-44.066637931034506,-54.235862068965616,-10.16922413793111,-53.10594827586203,-58.75551724137938,-23.728189655172514
1292,802.7929765690488,1516.3443103448276,25.988017241379225,53.10594827586203,16.9487068965517,41.80681034482757,6.779482758620702,45.196551724137976,-54.2358620689655,5.649568965517233,-62.145258620689674,-12.429051724137935,-18.078620689655168
1293,803.1212999047208,1509.5648275862068,14.688879310344873,-5.649568965517119,1.129913793103583,-33.8974137931034,-11.299137931034352,-4.51965517241365,-19.208534482758523,-7.909396551724058,-41.806810344827454,2.2598275862070523,-44.06663793103439
1294,803.4495735716923,1523.1237931034484,14.68887931034476,-23.728189655172628,-15.818793103448456,-27.117931034482922,-15.818793103448343,-16.948706896551812,-40.676896551724326,-31.637586206896685,-33.897413793103624,-46.32646551724156,-61.01534482758632
1295,803.7777975658242,1442.8999137931035,0.0,-2.2598275862069386,-51.97603448275868,-54.2358620689655,-36.157241379310335,0.0,6.779482758620702,-45.19655172413786,-29.377758620689633,-15.818793103448229,-29.377758620689633
1296,804.1059718829765,1465.4981896551726,-54.23586206896573,-63.27517241379326,-45.19655172413809,-56.49568965517267,-31.637586206896685,-47.45637931034503,-88.13327586206924,-79.0939655172416,-62.1452586206899,-97.17258620689677,-55.3657758620692
1297,804.4340965190099,1494.875948275862,10.169224137931224,37.28715517241403,-18.078620689655054,-2.259827586206711,-6.779482758620475,-44.06663793103428,-1.1299137931033556,-54.23586206896539,-1.129913793103242,-38.417068965517046,-67.7948275862068
1298,804.7621714697848,1485.8366379310346,-28.24784482758639,23.728189655172287,-38.41706896551739,-28.24784482758639,13.55896551724129,-41.80681034482768,-19.20853448275875,57.62560344827568,22.59827586206893,-20.33844827586222,-14.688879310344873
1299,805.0901967311613,1630.465603448276,-25.98801724137934,-53.10594827586215,-67.79482758620702,-72.31448275862078,-51.97603448275868,-51.97603448275868,-55.365775862069086,-75.70422413793108,-100.56232758620695,-65.53500000000008,-15.818793103448343
1300,805.418172299,1645.1544827586208,5.649568965517119,-9.039310344827754,-23.728189655172514,-18.07862068965528,-36.15724137931045,-32.76750000000004,-38.41706896551739,-64.40508620689661,5.649568965517119,-3.389741379310408,-45.19655172413809
1301,805.7460981691614,1516.3443103448276,21.46836206896546,3.389741379310408,-49.71620689655174,-15.818793103448229,-24.85810344827587,-20.338448275862106,-47.4563793103448,1.1299137931033556,-39.54698275862074,-15.818793103448343,-55.36577586206897
1302,806.0739743375058,1489.2263793103448,-40.6768965517241,-24.85810344827587,-62.14525862068956,-56.49568965517244,-68.92474137931038,-39.54698275862063,-88.1332758620689,-79.09396551724126,-70.05465517241373,-64.4050862068965,-79.09396551724137
1303,806.4018007998935,1523.1237931034484,-56.495689655172555,-38.41706896551739,-54.235862068965616,-77.96405172413802,-132.19991379310363,-57.62560344827591,-84.74353448275872,-76.83413793103466,-119.77086206896558,-109.60163793103459,-99.43241379310359
1304,806.7295775521851,1623.6861206896551,29.377758620689633,53.10594827586215,-20.338448275861992,46.326465517241445,-36.157241379310335,-3.389741379310294,2.2598275862070523,-16.9487068965517,11.299137931034466,25.98801724137934,-32.76749999999993
1305,807.0573045902408,1535.5528448275863,29.37775862068952,1.1299137931033556,-19.20853448275875,-15.818793103448456,33.89741379310328,-24.858103448275983,-48.5862931034485,-59.88543103448296,7.909396551723944,42.93672413793092,3.3897413793101805
1306,807.3849819099213,1516.3443103448276,-3.389741379310408,1.1299137931034693,-42.93672413793115,-13.558965517241404,-64.4050862068965,-77.9640517241379,-10.169224137930996,-22.59827586206893,-74.57431034482761,-5.649568965517233,-105.08198275862071
1307,807.7126095070867,1494.875948275862,-71.18456896551709,-89.26318965517225,-62.14525862068945,-44.06663793103428,-37.28715517241358,-62.14525862068945,-92.65293103448255,-119.77086206896536,-81.35379310344808,-61.01534482758609,-39.546982758620516
1308,808.0401873775975,1424.8212931034482,24.858103448275983,35.02732758620698,53.10594827586215,-28.247844827586164,-24.858103448275756,19.20853448275875,-50.846120689655095,-31.637586206896458,-18.078620689655054,-41.806810344827454,-30.50767241379299
