# wavelength	raw_bkg	raw_avg
3.386034821000000079e+02 1.581879310344827516e+01 0.000000000000000000e+00
3.389925196812100694e+02 2.563548413793103100e+04 3.637978807091712952e-12
3.393815129420805761e+02 9.274332413793105161e+02 9.265293103448106748e+00
3.397704618784717923e+02 9.014452241379309498e+02 -9.943241379310256534e+00
3.401593664862442665e+02 8.822366896551724267e+02 -1.401093103448278043e+01
3.405482267612583769e+02 1.096920310344827612e+03 -2.711793103448326470e+00
3.409370426993745014e+02 1.045170258620689765e+03 -1.197708620689667214e+01
3.413258142964530180e+02 1.051949741379310581e+03 -3.276750000000022567e+01
3.417145415483543047e+02 1.044492310344827501e+03 1.197708620689662595e+01
3.421032244509388534e+02 1.026187706896551845e+03 2.734391379310333292e+01
3.424918630000669850e+02 1.053079655172413823e+03 -9.717258620689653625e+00
3.428804571915991914e+02 1.020538137931034498e+03 2.734391379310344661e+01
3.432690070213957370e+02 1.024605827586206942e+03 2.214631034482755467e+01
3.436575124853172269e+02 1.058051275862069133e+03 1.355896551723992705e+00
3.440459735792238689e+02 1.044718293103448104e+03 -1.559281034482742179e+01
3.444343902989761546e+02 1.237707568965517339e+03 -8.813327586206970210e+00
3.448227626404344619e+02 1.347083224137931211e+03 -2.576203448275875729e+01
3.452110905994591690e+02 1.146410534482758976e+03 -2.463212068965551538e+01
3.455993741719107675e+02 1.097372275862069046e+03 -1.446289655172422428e+01
3.459876133536495786e+02 9.979398620689655672e+02 4.293672413793058418e+00
3.463758081405359803e+02 1.100536034482758623e+03 -5.649568965517232755e+00
3.467639585284304644e+02 1.047882051724137909e+03 2.937775862068968991e+01
3.471520645131934657e+02 1.036582913793103216e+03 9.265293103448517087e+00
3.475401260906851917e+02 1.041328551724137924e+03 4.971620689655173564e+00
3.479281432567662478e+02 1.038842741379310155e+03 1.740067241379330198e+01
3.483161160072968983e+02 1.200194431034482704e+03 -3.050767241379303485e+01
3.487040443381376349e+02 1.331716396551724301e+03 -3.999894827586221879e+01
3.490919282451487220e+02 1.192736999999999853e+03 -1.242905172413779802e+01
3.494797677241907650e+02 1.121778413793103482e+03 -2.440613793103452878e+01
3.498675627711240281e+02 1.121326448275862049e+03 1.807862068965521374e+01
3.502553133818089464e+02 1.227312362068965513e+03 6.779482758620588578e-01
3.506430195521060114e+02 1.640634827586206939e+03 2.305024137931034289e+01
3.510306812778754875e+02 1.199968448275862102e+03 -3.186356896551722073e+01
3.514182985549778095e+02 1.209233741379310686e+03 2.146836206896516686e+01
3.518058713792733556e+02 1.224148603448275935e+03 2.259827586206824890e+00
