,wavelength,raw_bkg,raw_avg20,raw_avg50,raw_avg125,raw_avg200,raw_avg255
1226,781.0140263786288,1454.199051724138,-39.54698275862074,-1.1299137931033556,53.10594827586215,-73.44439655172414,1.1299137931034693
1227,781.3456186958637,1118.6146551724137,38.41706896551739,58.75551724137938,11.29913793103458,50.84612068965521,3.3897413793105216
1228,781.6771616176117,1173.9804310344828,-29.377758620689633,-41.80681034482768,-44.066637931034506,-87.00336206896554,-22.598275862069045
1229,782.0086551397334,1020.3121551724138,96.04267241379318,101.69224137931042,72.31448275862067,80.22387931034484,94.9127586206896
1230,782.340099258089,1213.5274137931033,-18.078620689655054,-49.71620689655151,-25.98801724137911,6.779482758620816,-33.89741379310328
1231,782.6714939685392,1147.9924137931034,-15.818793103448229,22.59827586206893,-6.779482758620588,19.20853448275875,6.779482758620702
1232,783.0028392669442,1100.5360344827586,-4.519655172413877,88.1332758620689,-12.429051724137935,-1.1299137931034693,-11.299137931034466
1233,783.3341351491646,1138.9531034482757,5.64956896551746,62.14525862068979,-27.11793103448258,28.24784482758639,19.20853448275875
1234,783.6653816110606,1326.5187931034484,58.755517241379266,47.45637931034469,40.676896551723985,-3.3897413793105216,-16.948706896551812
1235,783.9965786484927,1209.0077586206899,-53.10594827586226,-12.429051724138048,-23.728189655172628,-71.18456896551743,-79.0939655172416
1236,784.3277262573212,1260.983793103448,-20.33844827586188,-61.01534482758598,-27.11793103448258,-35.02732758620675,-56.495689655172214
1237,784.6588244334065,1114.0949999999998,20.338448275862334,-7.909396551723944,-38.417068965517046,-7.909396551723944,-20.33844827586188
1238,784.9898731726092,1432.7306896551725,-2.2598275862069386,-75.70422413793096,-76.83413793103455,-67.7948275862069,-44.066637931034506
1239,785.3208724707896,1192.059051724138,9.039310344827527,-31.637586206896685,33.89741379310328,-13.558965517241518,22.59827586206893
1240,785.651822323808,1184.1496551724138,-10.169224137930996,-75.70422413793096,-1.1299137931033556,-32.76749999999993,9.03931034482764
1241,785.9827227275248,1176.2402586206895,-38.417068965517046,-32.767499999999814,-31.637586206896344,1.1299137931036967,-28.24784482758605
1242,786.3135736778006,1142.3428448275863,19.208534482758523,56.49568965517233,13.55896551724129,-55.365775862069086,45.19655172413775
1243,786.6443751704958,1108.4454310344827,-35.02732758620675,-51.976034482758564,-23.728189655172287,-7.909396551724058,-59.88543103448262
1244,786.9751272014705,1265.503448275862,38.41706896551739,-18.078620689655054,15.818793103448343,11.299137931034693,3.3897413793105216
1245,787.3058297665852,1140.0830172413794,-40.6768965517241,-63.27517241379314,-24.858103448275983,18.078620689655054,19.208534482758523
1246,787.6364828617006,1048.56,2.2598275862069386,1.1299137931034693,3.389741379310408,-3.389741379310294,20.338448275862106
