8.690150188652558203e-04;2.668183856489693482e-04;4.434524854881170293e-05;2.538201836892230788e-05
8.808952199212321870e-04;2.720637322273015382e-04;4.564675394734673007e-05;2.612634577554803262e-05
8.929243070589922915e-04;2.774049612476479692e-04;4.698429352308583788e-05;2.689179707132552814e-05
9.051039430867661084e-04;2.828436719718886846e-04;4.835879765663339194e-05;2.767896022191850309e-05
9.174357940335990452e-04;2.883814816258539336e-04;4.977121730904971705e-05;2.848843864957011307e-05
9.299225365268873897e-04;2.940204816868968382e-04;5.122264232438254424e-05;2.932091929534528889e-05
9.425658975932192868e-04;2.997623580922810548e-04;5.271407758865403846e-05;3.017704454414181522e-05
9.553656765066588638e-04;3.056079312673678030e-04;5.424631727636026996e-05;3.105733990096026711e-05
9.683255799585794481e-04;3.115598187390014443e-04;5.582064206681673076e-05;3.196261468993721210e-05
9.814463846866587973e-04;3.176193188462831936e-04;5.743800527214060843e-05;3.289349482426293607e-05
9.947308909356974895e-04;3.237886799011638903e-04;5.909963099514750807e-05;3.385076686243139454e-05
1.008179897499802231e-03;3.300692415405238021e-04;6.080651839798123282e-05;3.483509291090268673e-05
1.021795206456891118e-03;3.364628237126898996e-04;6.255981332187058111e-05;3.584722477453707468e-05
1.035579713263446366e-03;3.429717823817427999e-04;6.436082977358897840e-05;3.688801698352237301e-05
1.049534216134059405e-03;3.495975047786990851e-04;6.621063476291610321e-05;3.795818719468944176e-05
1.063660581599695180e-03;3.563418974686258732e-04;6.811045738623493532e-05;3.905855264694985454e-05
1.077961781758424598e-03;3.632074183155872414e-04;7.006170456791738807e-05;4.019004001310241641e-05
1.092438634359716278e-03;3.701955132558134220e-04;7.206551797404212544e-05;4.135342881922814151e-05
1.107093065311497496e-03;3.773081756423775682e-04;7.412321438470856176e-05;4.254960684896250161e-05
1.121928124624801916e-03;3.845479687520837633e-04;7.623629940118214381e-05;4.377957896486322950e-05
1.136944657404260995e-03;3.919164029013616534e-04;7.840599500774041825e-05;4.504419251167656021e-05
1.152144620157041950e-03;3.994155466071990348e-04;8.063370676523096050e-05;4.634440928096760583e-05
1.167530002180662942e-03;4.070475049831989820e-04;8.292087420079576336e-05;4.768121895342441492e-05
1.183104002958851190e-03;4.148150090292077388e-04;8.526915036697792899e-05;4.905574464712259290e-05
1.198868667582478082e-03;4.227202431373116806e-04;8.768005118103605394e-05;5.046903837778198476e-05
1.214823641404705898e-03;4.307641999964327562e-04;9.015474902400352460e-05;5.192195943793591844e-05
1.230973398094974526e-03;4.389503215698674853e-04;9.269519164756131145e-05;5.341583151193596876e-05
1.247320070680619239e-03;4.472809017267176954e-04;9.530300436095357972e-05;5.495179943947984142e-05
1.263863247761305882e-03;4.557569496829672810e-04;9.797943140595866368e-05;5.653079335424615826e-05
1.280607563468807867e-03;4.643820750963200588e-04;1.007265612085758380e-04;5.815425171819062927e-05
1.297555191910940414e-03;4.731586603385374299e-04;1.035461272925927408e-04;5.982341540315973239e-05
1.314705694963311505e-03;4.820877472177963392e-04;1.064394547200472489e-04;6.153929438578866298e-05
1.332063855133975216e-03;4.911731113532350314e-04;1.094087787902759274e-04;6.330344999544986557e-05
1.349631913669783936e-03;5.004172397237883086e-04;1.124559518846242302e-04;6.511722973129730613e-05
1.367409378231754496e-03;5.098211933892354353e-04;1.155823797678572632e-04;6.698172745553752753e-05
1.385401201445322309e-03;5.193889298502085174e-04;1.187904568744437467e-04;6.889863954473408273e-05
1.403609666251180201e-03;5.291230300248017052e-04;1.220821566823413645e-04;7.086942619976310570e-05
1.422034250001969619e-03;5.390245876125031787e-04;1.254589743743840513e-04;7.289527487530764096e-05
1.440680062338274255e-03;5.490977397918499767e-04;1.289234702470145851e-04;7.497802642754928951e-05
1.459548004643644158e-03;5.593443889007438871e-04;1.324774756100338994e-04;7.711910015515401832e-05
1.478641857449892278e-03;5.697680219842826774e-04;1.361234019741624092e-04;7.932028076838638410e-05
1.497962528403237650e-03;5.803705870901431849e-04;1.398631581045252934e-04;8.158306657841238774e-05
1.517512389055800538e-03;5.911548507675802849e-04;1.436989694844256196e-04;8.390916399270247344e-05
1.537295332323130540e-03;6.021244509473908622e-04;1.476334096385653247e-04;8.630050907697787597e-05
1.557312285064524869e-03;6.132814112560892135e-04;1.516685106944399555e-04;8.875872792401649379e-05
1.577565660094792368e-03;6.246285990203545970e-04;1.558066393929909512e-04;9.128566876024900583e-05
1.598059485586501545e-03;6.361698197646709812e-04;1.600505448541356460e-04;9.388343401055216980e-05
1.618794676844301965e-03;6.479071573972359534e-04;1.644023828742209505e-04;9.655378414919797573e-05
1.639773728957969476e-03;6.598436057990139441e-04;1.688646776009402977e-04;9.929872594168916394e-05
1.661000756911923913e-03;6.719831148066643042e-04;1.734403530516499467e-04;1.021205351293126931e-04
1.682475076257541413e-03;6.843269146465478115e-04;1.781313456487230420e-04;1.050209011047212977e-04
1.704204162469076782e-03;6.968809518613545842e-04;1.829414226921396676e-04;1.080026688705529797e-04
1.726185634950645970e-03;7.096455210035514582e-04;1.878722350055747126e-04;1.110673977503186965e-04
1.748425451936129861e-03;7.226257656581631331e-04;1.929273343350300569e-04;1.142178514045044554e-04
1.770924545036809197e-03;7.358239415764733981e-04;1.981092002722725039e-04;1.174561538168645137e-04
1.793687305913587837e-03;7.492443584051640924e-04;2.034211584631420656e-04;1.207849843674386634e-04
1.816714670342554775e-03;7.628893227726516986e-04;2.088657883673133802e-04;1.242065837153912044e-04
1.840009326291332367e-03;7.767621961863169352e-04;2.144461261987661179e-04;1.277235068833061855e-04
